name,key,post_code
ABBOTTABAD,ABBOTTABAD,22010
ATTOCK,ATTOCK,43600
BAGH,BAGH,12500
BAHAWAL NAGAR,BAHAWAL NAGAR,62300
BAHAWALPUR,BAHAWALPUR,63100
BANNU,BANNU,28100
BATKHELA,BATKHELA,23020
BHAKKAR,BHAKKAR,30000
BHIMBER,BHIMBER,10040
CHAKWAL,CHAKWAL,48800
CHARSADDA,CHARSADDA,24420
CHITRAL,CHITRAL,17200
DADU,DADU,76200
DERA GHAZI KHAN,DERA GHAZI KHAN,32200
DERA ISMAIL KHAN,DERA ISMAIL KHAN,29050
FAISALABAD,FAISALABAD,38000
GILGIT,GILGIT,15100
GUJAR KHAN,GUJAR KHAN,47850
GUJRANWALA,GUJRANWALA,52250
GUJRAT,GUJRAT,50700
HARIPUR,HARIPUR,22620
HYDERABAD,HYDERABAD,71000
ISLAMABAD,ISLAMABAD,44000
JACOBABAD,JACOBABAD,79000
JHANG,JHANG,35200
JHELUM,JHELUM,49600
KAHUTA,KAHUTA,47330
KAMALIA,KAMALIA,36350
KARACHI ALHYDRI,KARACHI ALHYDRI,74700
KARACHI CITY,KARACHI CITY,74000
KARACHI,KARACHI,74200
KARACHI SADDAR,KARACHI SADDAR,74400
KARAK,KARAK,27200
KASUR,KASUR,55050
KHAIR PUR,KHAIR PUR,66020
KHANEWAL,KHANEWAL,58150
KHUSHAB,KHUSHAB,41000
KHUZDAR,KHUZDAR,89100
KOHAT,KOHAT,26000
KORANGI,KORANGI,74900
LAHORE CANTT.,LAHORE CANTT,54810
LAHORE,LAHORE,54000
LAKKI MARWAT,LAKKI MARWAT,28420
LARKANA,LARKANA,77150
LAYYAH,LAYYAH,31200
LORALAI,LORALAI,84800
MANDI BAHAUDDIN,MANDI BAHAUDDIN,50400
MANSEHRA,MANSEHRA,21300
MARDAN,MARDAN,23200
MIANWALI,MIANWALI,42200
MIRPUR,MIRPUR,10250
MIRPUR KHAS,MIRPUR KHAS,69000
MULTAN,MULTAN,60000
MURREE,MURREE,47150
MUZAFFARABAD,MUZAFFARABAD,13100
MUZAFFARGARH,MUZAFFARGARH,34200
NAROWAL,NAROWAL,51600
NAWABSHAH,NAWABSHAH,67450
NEW TOWN,NEW TOWN,74800
NOWSHERA,NOWSHERA,24100
NUSHKI,NUSHKI,95200
OKARA,OKARA,56300
PALANDRI,PALANDRI,12010
PESHAWAR,PESHAWAR,25000
QILA SHEIKHUPURA,QILA SHEIKHUPURA,39350
QUETTA,QUETTA,87300
RAHIMYAR KHAN,RAHIMYAR KHAN,64200
RAWALKOT,RAWALKOT,12350
RAWALPINDI,RAWALPINDI,46000
SAHIWAL,SAHIWAL,57000
SAIDU SHARIF,SAIDU SHARIF,19200
SANGHAR,SANGHAR,68100
SARGODHA,SARGODHA,40100
SHIKARPUR,SHIKARPUR,78100
SIALKOT,SIALKOT,51310
SIBI,SIBI,82000
SKARDU,SKARDU,16100
SUKKUR,SUKKUR,65200
TALAGANG,TALAGANG,48100
TANK,TANK,29400
TOBA TAKE SINGH,TOBA TAKE SINGH,36050
TURBAT,TURBAT,92600
VEHARI,VEHARI,61100
WAH CANTT.,WAH CANTT,47040
