NAME OF DELIVERY POST OFFICE,POST CODE,ACCOUNT OFFICE PROVINCE,POST CODE OF ATTACHED BRANCH OFFICES
ABAZAI  Charsadda GPO Khyber Pakhtunkhwa 24551,24550,KPK,24551
ABBA KHEL  Lakki Marwat GPO Khyber Pakhtunkhwa 28441,28440,KPK,28441
ABBAS PUR  Rawalakot GPO Azad Kashmir 12201,12200,,12201
ABBOTTABAD GPO  Abbottabad GPO Khyber Pakhtunkhwa 22011,22010,KPK,22011
ABBOTTABAD PUBLIC SCHOOL  Abbottabad GPO Khyber Pakhtunkhwa 22031,22030,KPK,22031
ABDUL GHAFOOR LEHRI  Sibi GPO Balochistan 80821,80820,Balochistan,80821
ABDUL HAKIM  Khanewal GPO Punjab 58181,58180,Punjab,58181
ACHORI  Skardu GPO Gilgit Baltistan 16321,16320,,16321
ADAMJEE PAPER BOARD MILLS NOWSHERA  Nowshera GPO Khyber Pakhtunkhwa 24171,24170,KPK,24171
ADDA GAMBEER  Sahiwal GPO Punjab 57461,57460,Punjab,57461
ADDA MIR ABBAS  Bannu GPO Khyber Pakhtunkhwa 28301,28300,KPK,28301
ADHI KOT  Khushab GPO Punjab 41261,41260,Punjab,41261
ADHIAN  Qila Sheikhupura GPO Punjab 39061,39060,Punjab,39061
ADIL PUR  Sukkur GPO Sindh 65081,65080,Sindh,65081
ADOWAL  Gujrat GPO Punjab 50731,50730,Punjab,50731
ADRANA  Jhelum GPO Punjab 49305,49304,Punjab,49305
AFZAL PUR  Mirpur GPO Azad Kashmir 10361,10360,,10361
AGRA  Khairpur GPO Sindh 66075,66074,Sindh,66075
AGRICULTUR INSTITUTE NAWABSHAH  Nawabshah GPO Sindh 67231,67230,Sindh,67231
AHAMED PUR SIAL  Jhang GPO Punjab 35091,35090,Punjab,35091
AHATA FAROOQIA  Wah Cantt. GPO Punjab 47067,47066,Punjab,47067
AHDI  Gujar Khan GPO Punjab 47751,47750,Punjab,47751
AHMAD NAGAR  Gujranwala GPO Punjab 52071,52070,Punjab,52071
AHMAD PUR EAST  Bahawalpur GPO Punjab 63351,63350,Punjab,63351
AHMADOON  Quetta GPO Balochistan 96101,96100,Balochistan,96101
AHMADPUR LAMA  Rahimyar Khan GPO Punjab 64381,64380,Punjab,64381
AHMED PUR  Khairpur GPO Sindh 66041,66040,Sindh,66041
AHMED PUR  Sargodha GPO Punjab 40121,40120,Punjab,40121
AHMEDWAL  Quetta GPO Balochistan 95151,95150,Balochistan,95151
AHSAN PUR  Muzaffargarh GPO Punjab 34001,34000,Punjab,34001
AJK BOARD OF EDUCATION MIRPUR  Mirpur GPO Azad Kashmir 10241,10240,,10241
AJNIAN WALA  Qila Sheikhupura GPO Punjab 39451,39450,Punjab,39451
AKAL GARH  Mirpur GPO Azad Kashmir 10471,10470,,10471
AKBAR PURA  Nowshera GPO Khyber Pakhtunkhwa 24321,24320,KPK,24321
AKHTAR ABAD  Okara GPO Punjab 56101,56100,Punjab,56101
AKORA KHATTAK  Nowshera GPO Khyber Pakhtunkhwa 24041,24040,KPK,24041
AKWAL  Talagang GPO Punjab 48061,48060,Punjab,48061
ALAMABAD  Sargodha GPO Punjab 40419,40418,Punjab,40419
ALI PUR  Muzaffargarh GPO Punjab 34451,34450,Punjab,34451
ALI PUR CHATHA  Gujranwala GPO Punjab 52081,52080,Punjab,52081
ALI PUR FRASH  Islamabad GPO Federal Capital 45601,45600,,45601
ALI SOJAL  Rawalakot GPO Azad Kashmir 12253,12252,,12253
ALI TOWN  Quetta GPO Balochistan 87341,87340,Balochistan,87341
ALIABAD  Gilgit GPO Gilgit Baltistan 15601,15600,,15601
"ALIABAD, JHANG  Jhang GPO Punjab 35211",35210,Punjab,35211
ALIPUR  Gujrat GPO Punjab 50767,50766,Punjab,50767
ALIPUR NOON  Sargodha GPO Punjab 40501,40500,Punjab,40501
ALIPUR SAIDAN  Sargodha GPO Punjab 40545,40544,Punjab,40545
ALIZAI  Kohat GPO Khyber Pakhtunkhwa 26281,26280,KPK,26281
AL-JAMIA  Sahiwal GPO Punjab 57471,57470,Punjab,57471
ALLAH ABAD  Rahimyar Khan GPO Punjab 64021,64020,Punjab,64021
ALLAH BAKHASH COLONY  Nowshera GPO Khyber Pakhtunkhwa 24021,24020,KPK,24021
ALLAH DITTO BHAMBHRO  Nawabshah GPO Sindh 67323,67322,Sindh,67323
ALLIANCE TEXTILE MILLS  Jhelum GPO Punjab 49611,49610,Punjab,49611
ALLUWALI  Mianwali GPO Punjab 42011,42010,Punjab,42011
ALOCH  Saidu Sharif GPO Khyber Pakhtunkhwa 19151,19150,KPK,19151
ALPURAI  Saidu Sharif GPO Khyber Pakhtunkhwa 19101,19100,KPK,19101
ALRO LAB  Attock GPO Punjab 43735,43734,Punjab,43735
ALTIT  Gilgit GPO Gilgit Baltistan 15711,15710,,15711
AMA KHEL  Tank GPO Khyber Pakhtunkhwa 29433,29432,KPK,29433
AMAN KOT  Saidu Sharif GPO Khyber Pakhtunkhwa 19141,19140,KPK,19141
AMBA DHER  Charsadda GPO Khyber Pakhtunkhwa 24611,24610,KPK,24611
AMIRABAD  Charsadda GPO Khyber Pakhtunkhwa 24503,24502,KPK,24503
