company_name,member_name,phone,websites
AL-ZAMIN TEXTILE MILLS LTD,MR. NAVEED AHMAD, +92-41-8503551-52,alzamingroup.com
A.L. TEXTILES (PVT) LTD,MR. OMER LATIF CHAUDRY, +92-42-35140591-2,altextile.com
RAFIQ FIBRES (PVT) LTD,MR. MUHAMMAD AHMAD SARWAR, 041-2423907,rafiqfibres.com
A.A. SPINNING MILLS LTD,MR. ATIF YASEEN, +92-42-2636306-07,aaspinning.com
AMER COTTON MILLS (PVT) LTD,MR. MOHAMMAD ABDULLAH, +92-42-111-000-100,amercottonmillspvtltd.enic.pk
ASHIANA COTTON PRODUCTS LTD,MR. SYED ALI AHSAN," +92-42-3753620, 37589749",ashianamills.com
HASSAN LTD,MR. SYED OMER SHAH, +92-41-2645950,hassanlimited.com
ALLAWASAYA SPINNING MILLS (PVT) LTD,MIAN MOHAMMAD ALAMGIR JAMIL KHAN, +92-61-4233624-26,allawasaya.com
ASIAN TEXTILE NETWORK,MR. MUHAMMAD NAEEM, +92-42-35965227,atn.com.pk
ABDULLAH FIBRES (PVT) LTD,MR. MUHAMMAD ABDULLAH, +92-41-2412893,
ALLAWASAYA TEXTILE & FINISHING MILLS LTD,MIAN TANVIR AHMED SHEIKH, +92-61-4233624-26,allawasaya.com
ASIM TEXTILE MILLS LTD,MR. ZAHID ANWAR, +92-41-8721954-6,asimtextile.com
AFZAL SPINNING MILLS (PVT) LTD,MR. MIAN NAVEED AFZAL, +92-42-37515498,afzaltextiles.com
AYESHA SPINNING MILLS LTD,MR. MUHMMAD NASIR, +92-42-35756184,ayeshaspinning.com
BASFA TEXTILE (PVT) LTD,MR. JAHANGIR SALIM, +92-42-35271473-4,
AHMAD HASSAN TEXTILE MILLS LTD,MR. MUHAMMAD AURANGZEB," +92-61-4512362 , 4512933",ahtml.com.pk
AL-QADIR TEXTILE MILLS LTD,MR. GHULAM ALI RAJA," +92-543-540830-31, 540833",aqtextile.com
BEACON IMPEX PRIVATE LAMITED,MR. MUHAMMAD SHAKEEL FARIDI, +92-41-2605076,beaconimpex.com
AHMED FINE TEXTILE MILLS LTD,MR. REHMAN NASEEM," +92-61-4586771, 4581477",ahmedfine-group.com
AHMED FINE WEAVING LTD,MR. ASHAR FAZAL, +92-61-4588294,ahmedfine.com
BEST EXPORTS (PVT) LTD,MR. WAQAS ALI, +92-41-8522812-18,best-exports.com
AHMED ORIENTAL TEXTILE MILLS LTD,MR. IFTIKHAR AHMED KHALID, +92-21-34539965,
ARSHAD CORPORATION (PVT) LTD,MR. MUHAMMAD ARSHAD, +92-41-2644190,arshadgroup.com
BHIMRA TEXTILE MILLS (PVT) LTD,MR. ZAHID QADEER ALAM, +92-42-35871695-96,
AKRAM COTTON MILLS LTD,MR. ALI PERVAIZ, 042-35851590-2,acmills.com
ARSHAD TEXTILE MILLS LTD,MR. SHAHZAD AHMED SHEIKH, +92-41-2644190,arshadgroup.com
BILAL TEXTILES (PVT) LTD,MR. MUHAMMAD SALEEM OMER," +92-41-2630023 , 2642971",bilal-textile.com
ALHAMD CORPORATION (PVT) LTD,SHEIKH AFZAAL AHMED, +92-42-35775293-7,alhamdcorp.com
ARZOO TEXTILE MILLS (PVT) LTD,MR. AZHAR MAJEED SHEIKH, +92-41-4361250-51,
BLESSED TEXTILES LTD,MR. MUHAMMAD AMIN, +92-42-111-130-130,
